Custom Id,Account Name,Tags,Website URL,Country
56,3M Deutschland GmbH,DRC_Campaign,,Germany
82381,APK AG,DRC_Campaign,apk-ag.de,Germany
6388,ARDEX Group GmbH,DRC_Campaign,,Germany
4648,ASK Chemicals GmbH,DRC_Campaign,,Germany
588,AbbVie Deutschland GmbH & Co. KG,DRC_Campaign,,Germany
165369,Adragos Pharma GmbH,DRC_Campaign,adragos-pharma.com,Germany
25539,Almatis GmbH,DRC_Campaign,almatis.com,Germany
1134,Aluminium Norf GmbH,DRC_Campaign,,Germany
70736,Amedes Medizinische,DRC_Campaign,amedes-group.com,Germany
50998,Arevipharma GmbH,DRC_Campaign,arevipharma.com,Germany
27094,Arntz Beteiligungs GmbH & Co. KG,DRC_Campaign,optibelt.de,Germany
79017,Aspen Bad Oldesloe GmbH,DRC_Campaign,aspenpharma.com,Germany
11673,BAYERNOIL,DRC_Campaign,bayernoil.de,Germany
5147,BERICAP GmbH & Co. KG,DRC_Campaign,,Germany
18021,BIT-SERV GmbH,DRC_Campaign,bit-serv.de,Germany
2189,BWF Offermann Waldenfels & Co. KG,DRC_Campaign,,Germany
2360,Baerlocher GmbH,DRC_Campaign,,Germany
8223,Biologische Heilmittel Heel GmbH,DRC_Campaign,,Germany
11656,Bionorica SE,DRC_Campaign,bionorica.de,Germany
27148,Biotest Aktiengesellschaft,DRC_Campaign,biotest.de,Germany
1192,Bischof + Klein SE & Co. KG,DRC_Campaign,,Germany
92955,BorgWarner Akasol AG,DRC_Campaign,events.akasol-engineering.com,Germany
5682,Brillux  GmbH & Co. KG,DRC_Campaign,,Germany
30454,CABB GmbH,DRC_Campaign,cabb-chemicals.com,Germany
8637,CHT Germany GmbH,DRC_Campaign,,Germany
150370,COMPO EXPERT International GmbH,DRC_Campaign,compo-expert.com,Germany
120991,COMPO Expert GmbH,DRC_Campaign,compo-expert.com,Germany
5096,COMPO GmbH,DRC_Campaign,,Germany
6542,COVERIS FLEXIBLES DEUTSCHLAND GMBH,DRC_Campaign,,Germany
1247,CQLT SaarGummi Deutschland GmbH,DRC_Campaign,,Germany
15060,CREATON GmbH,DRC_Campaign,creaton.de,Germany
7101,Carl Bechem GmbH,DRC_Campaign,,Germany
1027,Cerdia Services GmbH,DRC_Campaign,,Germany
12080,Chemische Werke Kluthe GmbH,DRC_Campaign,kluthe.de,Germany
31991,Cheplapharm Arzneimittel GmbH,DRC_Campaign,cheplapharm.de,Germany
